term,dv_cand_polz,iv_cand_pref_n,iv_cdv_diff_c1,iv_cdv_val_c2,iv_prox_sup,iv_prox_sup_alt,iv_triv,cov_pre_polz,cov_party3_n,party_strength,cov_pk,cov_edu_recode_n,cov_expect_n,cov_voted_n,cov_days,cand_change_dem,cand_change_gop,pref_switch,voted_early,demog_age
dv_cand_polz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_cand_pref_n,-0.06434789517444536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_cdv_diff_c1,-0.21512778781457084,-0.09375001000120031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_cdv_val_c2,0.03828373564038844,-0.07644242465644252,0.021556969809098776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_prox_sup,0.03552870640512922,-0.35108575075824405,-0.0034088677978844507,0.011895886264438802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_prox_sup_alt,0.006629954824595357,0.09401492916886342,0.11050535292355612,-0.023062517803391865,-0.08389148990906982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_triv,-0.011766945630543152,-0.07161486703053269,0.21727484260997273,0.048345819093977824,-0.049096406920037645,0.150895089100122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cov_pre_polz,-0.2728828406978798,-0.08648048172238548,0.6978671650234498,0.0031786106237443115,-0.022581255520098556,0.1692510481548132,0.32137333926887957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cov_party3_n,0.07861629289989529,-0.759214972268293,-0.06512077874960932,-0.02735219913681219,0.34222647138317996,-0.14608422353733644,0.005851206602079735,-0.10715694276448771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
party_strength,-0.025529471601194002,-0.08559087409505593,0.19659018488174926,0.044893154505757184,-0.013977154236484914,0.0908185490577164,0.19219928868563335,0.37675814831797955,-0.02579822858690542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cov_pk,-0.04651714036933545,0.06295751292721138,0.09888027461589624,-0.03414008649982146,-0.08933984529810864,0.14609268094661315,0.1711700319753994,0.152734083986188,-0.08414244132620738,0.04680753573699697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cov_edu_recode_n,-0.029557304867932812,0.154484260288427,0.11389031687118205,-0.08970106910022728,-0.16862756630280792,0.21829132511751337,0.14565912486555968,0.0988677128043525,-0.14660112420957236,-0.011704452185621375,0.2651586160050318,NA,NA,NA,NA,NA,NA,NA,NA,NA
cov_expect_n,-0.10438060651682941,0.7099172293604059,0.08614921032734375,-0.03790603944365483,-0.40091972535520304,0.14029736319804267,0.03899725919644094,0.10617665257379096,-0.6799143314282617,0.0046693068372658875,0.12007383124559552,0.19895609411818094,NA,NA,NA,NA,NA,NA,NA,NA
cov_voted_n,-0.010855459346407761,-0.022529518329907985,0.22137230608354058,-0.06285510760411493,-0.07790282580954962,0.18102556063553976,0.26783362677455147,0.273351890569095,-0.03898125264254774,0.12090649167338825,0.1694425799494699,0.22509383440892244,0.1061614918790722,NA,NA,NA,NA,NA,NA,NA
cov_days,0.0035247563528363808,-0.0036452955248376254,-0.03654638863521549,0.008762911889091184,0.01250840507495926,-0.058852528545284916,-0.04627192862846985,-0.03726815965801743,0.011194190928517467,-0.028024845096725762,-0.06757939173486031,-0.057093887841083234,-0.027906598258517573,-0.07283981508865452,NA,NA,NA,NA,NA,NA
cand_change_dem,0.6518578476211148,-0.06701414217653857,-0.06839405528664476,-0.057969523289406195,0.04698038653966431,-0.026348663823512725,-0.028447279095676237,-0.0765111781012986,0.05818343574947585,-0.00852557894184187,-0.07148233963435789,-0.039620291820799014,-0.10004808311398475,-0.030980029035678012,0.020180355437603676,NA,NA,NA,NA,NA
cand_change_gop,-0.008086337134158812,0.0638619711875666,-0.03834041688307208,-0.21603779889550764,-0.02084960298229768,-0.035547925242260726,-0.017755061855724508,-0.08777445349075304,-0.010762015737697249,-0.01061439639322856,-0.01818685869282883,-0.04032300284606943,0.07222405613643107,-0.02708894161917015,0.014024409969249186,-0.08341418502043882,NA,NA,NA,NA
pref_switch,-0.0021683268565118297,-0.03890678284879199,0.1345203028075296,-0.004353451583468521,-0.006042008111073527,0.04290133844958485,0.08631307244482662,0.18881998796797747,-0.008455447096564407,0.07576902023846915,0.050345169345116736,0.047941253781063106,0.007297796315022564,0.045490415099231185,-0.016765482116204884,-0.017676706912243965,-0.09845017841527448,NA,NA,NA
voted_early,-0.030723724676601397,0.009110620967754847,0.013346810262861856,0.0042909862927704035,-0.037186986734770194,0.016683080318267703,0.02689647951862206,0.03213148756355239,-0.022630209937892217,0.0651616895431292,6.444539726328339e-4,0.016344099860816537,0.022695260933093934,-0.2931270135986816,0.016947934814005042,-0.011969326001989581,0.006475243338912148,9.444339662346611e-4,NA,NA
demog_age,0.01845028706339466,-0.033818293737258046,0.1074817824159126,0.004131515708813576,-0.05090286071267787,-0.00407988699576532,0.23039890137111457,0.1908723715944515,0.025627308511368845,0.1534343592577544,0.22706636398987246,-0.012378479776796791,0.0556548987467412,0.18943869296112123,-0.09526613394589234,-0.014151962480003446,0.02942832036003254,0.04924573003020844,0.0347789189608055,NA
